year,week,team,team_owner,team_score,opponent,opponent_owner,opponent_score,result,is_playoff,bracket_type,playoff_round,team_seed,opponent_seed
2014,10,Gotham City Rogues,Dan,137.2,Paper Thin Walls,Geoff,144.1,LOSS,FALSE,,,,
2014,10,Eat The Sandwich,Spencer,125.2,Johnny Clipboards,Gavin,147.4,LOSS,FALSE,,,,
2014,10,Caucasion Sasquatch,Ken,143.3,Team Charles,Charles,104.6,WIN,FALSE,,,,
2014,10,The Thirteenth District,James,103.3,Team Foote Longs,Wes,135,LOSS,FALSE,,,,
2014,11,Salsa Dancing,Tom,157.3,Rapid City Monuments,Tsizz,67.6,WIN,FALSE,,,,
2014,11,Two First Names,Spear,109,Gotham City Rogues,Dan,117.1,LOSS,FALSE,,,,
2014,11,Paper Thin Walls,Geoff,128.5,Eat The Sandwich,Spencer,112.6,WIN,FALSE,,,,
2014,11,Johnny Clipboards,Gavin,141.7,Caucasion Sasquatch,Ken,91.7,WIN,FALSE,,,,
2014,11,Team Charles,Charles,131.6,The Thirteenth District,James,135.9,LOSS,FALSE,,,,
2014,11,Team Foote Longs,Wes,124.3,Brookfield Brawlers,Rob,81.8,WIN,FALSE,,,,
2014,12,Salsa Dancing,Tom,176.3,Gotham City Rogues,Dan,176.2,WIN,FALSE,,,,
